set Edzesek:= Konditerem Futojatek Passzjatek Specialis_csapat Videozas Kontaktnelkuli Kontakt;
param Napszam 45;

param maxFutojatekKoltseg 30000;
param tagSzam 40;
param maxEgyFoKoltseg 3200;

param Szabadido:=
1	2
2	1.5
3	1.8
4	4
5	3.6
6	0.9
7	2.5
8	2.4
9	2.5
10	5
11	1.2
12	3.1
13	4.5
14	1.9
15	1.7
16	2.9
17	0
18	3
19	3.6
20	1.5
21	2.2
22	2.1
23	3.3
24	5
25	1.7
26	3
27	4.2
28	2.6
29	2.9
30	1.1
31	1.2
32	3.6
33	2.4
34	1.7
35	5
36	4.5
37	5
38	3.9
39	2.9
40	1.8
41	2.7
42	3
43	5.3
44	4.4
45	4.9
;

param BeoltozesiIdo:=
Konditerem			0.2
Futojatek			0.3
Passzjatek			0.3
Specialis_csapat	0.6
Videozas			0.0
Kontaktnelkuli		0.2
Kontakt				0.5
;

param MinIdo:=
Konditerem			13
Futojatek			10
Passzjatek			10
Specialis_csapat	4
Videozas			7
Kontaktnelkuli		25
Kontakt				20
;

param Koltsegek:=
Konditerem			10000
Futojatek			4000
Passzjatek			2000
Specialis_csapat	2000
Videozas			3000
Kontaktnelkuli		2000
Kontakt				2000
;
